dt[s],5e-10
freqs[MHz],channel,p1[2V/sqrt(Hz)],chi2[TBA]
0.0,0,7.155921525289521e-08,0
0.0,1,7.660176990567294e-08,0
0.0,2,1.2396986267009144e-07,0
0.0,3,1.4299991738152324e-07,0
0.0,4,1.294985984713694e-07,0
0.0,5,7.194821698303463e-08,0
0.0,6,1.4003375709092434e-07,0
0.0,7,1.0593757952572967e-07,0
0.0,8,1.2613858714658466e-07,0
0.0,9,6.383066483496278e-08,0
0.0,10,8.375272469296088e-08,0
0.0,11,8.348683710384729e-08,0
0.0,12,8.719541459999179e-08,0
0.0,13,6.677572864314441e-08,0
0.0,14,8.381009216932756e-08,0
0.0,15,7.697042882549276e-08,0
2.0,0,7.143351489544391e-08,0
2.0,1,7.643505484378314e-08,0
2.0,2,1.2371332002498839e-07,0
2.0,3,1.427777257228465e-07,0
2.0,4,1.2947260087703143e-07,0
2.0,5,7.157929963929103e-08,0
2.0,6,1.3983937808526602e-07,0
2.0,7,1.0599400658050474e-07,0
2.0,8,1.259840325044502e-07,0
2.0,9,6.436681392374395e-08,0
2.0,10,8.378340338148594e-08,0
2.0,11,8.29007456406397e-08,0
2.0,12,8.7133008165149e-08,0
2.0,13,6.683032435566914e-08,0
2.0,14,8.378878295916513e-08,0
2.0,15,7.945578627913579e-08,0
4.0,0,7.179019116009935e-08,0
4.0,1,7.657204704807595e-08,0
4.0,2,1.243253795489883e-07,0
4.0,3,1.4303049906367127e-07,0
4.0,4,1.3014719006765242e-07,0
4.0,5,7.200797246154685e-08,0
4.0,6,1.4076047918361177e-07,0
4.0,7,1.0612755582865382e-07,0
4.0,8,1.2633495175202302e-07,0
4.0,9,6.487985116533481e-08,0
4.0,10,8.382084686922652e-08,0
4.0,11,8.348157678011229e-08,0
4.0,12,8.789746887163808e-08,0
4.0,13,6.710666562430536e-08,0
4.0,14,8.382615553044538e-08,0
4.0,15,7.882767729669202e-08,0
6.0,0,7.18112503403132e-08,0
6.0,1,7.680407400977539e-08,0
6.0,2,1.2432092227062785e-07,0
6.0,3,1.4315567474998653e-07,0
6.0,4,1.299133355640472e-07,0
6.0,5,7.210509057879758e-08,0
6.0,6,1.403753785874868e-07,0
6.0,7,1.0598349591985306e-07,0
6.0,8,1.2633972611489117e-07,0
6.0,9,6.406365555371298e-08,0
6.0,10,8.377801355699213e-08,0
6.0,11,8.378458356422084e-08,0
6.0,12,8.790269397449011e-08,0
6.0,13,6.695546943947484e-08,0
6.0,14,8.381009216932756e-08,0
6.0,15,7.675546383635148e-08,0
8.0,0,7.20471850430575e-08,0
8.0,1,7.678298499744398e-08,0
8.0,2,1.246553972987222e-07,0
8.0,3,1.4321796173535416e-07,0
8.0,4,1.3053134991682525e-07,0
8.0,5,7.219923872304367e-08,0
8.0,6,1.4108260580809317e-07,0
8.0,7,1.0615998921749002e-07,0
8.0,8,1.2670060707615164e-07,0
8.0,9,6.520402304875761e-08,0
8.0,10,8.38314541753223e-08,0
8.0,11,8.390201968671777e-08,0
8.0,12,8.876872697911399e-08,0
8.0,13,6.722914906035552e-08,0
8.0,14,8.38420215292294e-08,0
8.0,15,7.823775291318097e-08,0
10.0,0,7.169006891398498e-08,0
10.0,1,7.659258819033371e-08,0
10.0,2,1.2429907286690007e-07,0
10.0,3,1.430169936970926e-07,0
10.0,4,1.3011659655421627e-07,0
10.0,5,7.183217292043918e-08,0
10.0,6,1.4048340119509548e-07,0
10.0,7,1.060559884575555e-07,0
10.0,8,1.2645143776502822e-07,0
10.0,9,6.514597422747048e-08,0
10.0,10,8.381019938394098e-08,0
10.0,11,8.321670044226113e-08,0
10.0,12,8.807294235880795e-08,0
10.0,13,6.708203932499369e-08,0
10.0,14,8.38154579812599e-08,0
10.0,15,8.013584157201948e-08,0
12.0,0,7.221772390746272e-08,0
12.0,1,7.68587867590837e-08,0
12.0,2,1.249721299437285e-07,0
12.0,3,1.433661874241913e-07,0
12.0,4,1.3101257344679976e-07,0
12.0,5,7.233222884345034e-08,0
12.0,6,1.4161763857498667e-07,0
12.0,7,1.0616535877948574e-07,0
12.0,8,1.269682215947354e-07,0
12.0,9,6.555248142507527e-08,0
12.0,10,8.383674283217873e-08,0
12.0,11,8.416311415311707e-08,0
12.0,12,8.98282480616295e-08,0
12.0,13,6.744269545039687e-08,0
12.0,14,8.383674283217873e-08,0
12.0,15,7.806536881799927e-08,0
14.0,0,7.219305184499322e-08,0
14.0,1,7.701281181330159e-08,0
14.0,2,1.24985663496271e-07,0
14.0,3,1.434760059417318e-07,0
14.0,4,1.3102353373776858e-07,0
14.0,5,7.232631052970876e-08,0
14.0,6,1.413593468944174e-07,0
14.0,7,1.0605844637645493e-07,0
14.0,8,1.2687778892079147e-07,0
14.0,9,6.504611323436889e-08,0
14.0,10,8.382438709103432e-08,0
14.0,11,8.423697345036816e-08,0
14.0,12,8.982171367244919e-08,0
14.0,13,6.738945822204504e-08,0
14.0,14,8.384548193760273e-08,0
14.0,15,7.708634922432634e-08,0
16.0,0,7.214938761932775e-08,0
16.0,1,7.688298662897004e-08,0
16.0,2,1.250767821111622e-07,0
16.0,3,1.43414478914049e-07,0
16.0,4,1.3142682302235833e-07,0
16.0,5,7.226647112766458e-08,0
16.0,6,1.41701954863731e-07,0
16.0,7,1.0617592560463731e-07,0
16.0,8,1.2740387313661594e-07,0
16.0,9,6.695688626655153e-08,0
16.0,10,8.382084686922652e-08,0
16.0,11,8.424143054363339e-08,0
16.0,12,9.08079751258578e-08,0
16.0,13,6.749343711306184e-08,0
16.0,14,8.38525491562421e-08,0
16.0,15,7.992753621701376e-08,0
