freqs,channel,p1,chi2
0.0,0,0.00015379342995338138,0
0.0,1,0.00012577882373436316,0
0.0,2,0.0002962698227307532,0
0.0,3,0.00015547124835897733,0
0.0,4,0.0002896956397464835,0
0.0,5,0.00015378337345257017,0
0.0,6,0.00028757124229865084,0
0.0,7,0.00023760779520744848,0
0.0,8,0.00033564662298537134,0
0.0,9,0.00015371696852142019,0
0.0,10,0.00018174427967212876,0
0.0,11,0.00018219397161674876,0
0.0,12,0.00020931994281017354,0
0.0,13,0.00020651019467201183,0
0.0,14,0.00018613257468394582,0
0.0,15,0.0002637861442206783,0
2.0,0,0.00015378702813789594,0
2.0,1,0.00012577882373436316,0
2.0,2,0.00029573944947668303,0
2.0,3,0.00015548731891088454,0
2.0,4,0.0002889042373677714,0
2.0,5,0.00015348871785208685,0
2.0,6,0.000287446538507598,0
2.0,7,0.0002377757880506182,0
2.0,8,0.0003355703734141876,0
2.0,9,0.00015372967345311054,0
2.0,10,0.00018175710084232023,0
2.0,11,0.0001809725748206326,0
2.0,12,0.00020931994281017354,0
2.0,13,0.0002063375017116283,0
2.0,14,0.0001858607829970511,0
2.0,15,0.00026584363732497495,0
4.0,0,0.00015380625112357285,0
4.0,1,0.00012577882373436316,0
4.0,2,0.00029629730544734325,0
4.0,3,0.0001555844366288916,0
4.0,4,0.0002906773818086945,0
4.0,5,0.00015380885433050075,0
4.0,6,0.00028884273271507024,0
4.0,7,0.00023781450113887132,0
4.0,8,0.00033744435549937864,0
4.0,9,0.00015372967345311054,0
4.0,10,0.00018175710084232023,0
4.0,11,0.00018237332201104052,0
4.0,12,0.00020959318866967802,0
4.0,13,0.00020681798949010943,0
4.0,14,0.00018691476469222257,0
4.0,15,0.00026605846424010654,0
6.0,0,0.00015387070985077393,0
6.0,1,0.00012577882373436316,0
6.0,2,0.0002968752497497428,0
6.0,3,0.00015547124835897733,0
6.0,4,0.0002904261853314725,0
6.0,5,0.00015402389292383417,0
6.0,6,0.00028794477060323643,0
6.0,7,0.00023760779520744848,0
6.0,8,0.0003366806897940024,0
6.0,9,0.00015372967345311054,0
6.0,10,0.00018176994545157968,0
6.0,11,0.00018245343041577362,0
6.0,12,0.00020946438711563114,0
6.0,13,0.0002065669940177858,0
6.0,14,0.00018718224105953538,0
6.0,15,0.0002636739561770824,0
8.0,0,0.00015384485552612736,0
8.0,1,0.00012579788979829137,0
8.0,2,0.0002968654546270342,0
8.0,3,0.0001557075329588695,0
8.0,4,0.0002913011477787505,0
8.0,5,0.00015404729674536904,0
8.0,6,0.0002898552152412556,0
8.0,7,0.00023779485009683965,0
8.0,8,0.00033859630384679455,0
8.0,9,0.00015372967345311054,0
8.0,10,0.00018175710084232023,0
8.0,11,0.00018298428621111207,0
8.0,12,0.00020961230682667705,0
8.0,13,0.00020695426228442654,0
8.0,14,0.000188428253558505,0
8.0,15,0.0002665313169609124,0
10.0,0,0.00015386423737885415,0
10.0,1,0.00012579788979829137,0
10.0,2,0.00029632482808383484,0
10.0,3,0.0001556827607781783,0
10.0,4,0.000289959684473614,0
10.0,5,0.00015368974366779804,0
10.0,6,0.000288416497002418,0
10.0,7,0.00023793356010581737,0
10.0,8,0.00033681163198691117,0
10.0,9,0.00015372967345311054,0
10.0,10,0.00018181508709760153,0
10.0,11,0.0001819023553124829,0
10.0,12,0.00020953551949650807,0
10.0,13,0.0002069000194978938,0
10.0,14,0.00018716992155115648,0
10.0,15,0.0002672017797739953,0
12.0,0,0.0001539227041832124,0
12.0,1,0.00012579788979829137,0
12.0,2,0.00029750492148007066,0
12.0,3,0.0001556827607781783,0
12.0,4,0.00029170104891663924,0
12.0,5,0.000154107387638499,0
12.0,6,0.000290641860856958,0
12.0,7,0.00023781450113887132,0
12.0,8,0.00033962389256246805,0
12.0,9,0.00015374873951703874,0
12.0,10,0.00018175710084232023,0
12.0,11,0.0001831778901210765,0
12.0,12,0.00020963137289060527,0
12.0,13,0.0002071677563288567,0
12.0,14,0.00018948421051371626,0
12.0,15,0.00026680356549713396,0
14.0,0,0.00015398823820536538,0
14.0,1,0.00012581700795529042,0
14.0,2,0.0002979802171996831,0
14.0,3,0.0001556827607781783,0
14.0,4,0.00029145650125738894,0
14.0,5,0.0001541438590846981,0
14.0,6,0.0002901556705774474,0
14.0,7,0.00023774951590877424,0
14.0,8,0.00033910957379362615,0
14.0,9,0.00015372967345311054,0
14.0,10,0.00018178281356424125,0
14.0,11,0.0001829802071029813,0
14.0,12,0.0002095419506108835,0
14.0,13,0.0002071148976747695,0
14.0,14,0.00018987648558938685,0
14.0,15,0.00026509240577848013,0
16.0,0,0.00015410104837944354,0
16.0,1,0.00012583617841914853,0
16.0,2,0.00029772867808761626,0
16.0,3,0.00015593399914070892,0
16.0,4,0.00029225595584581455,0
16.0,5,0.00015420746575599511,0
16.0,6,0.00029081971061880625,0
16.0,7,0.0002380750090994575,0
16.0,8,0.00034002137741613234,0
16.0,9,0.00015374873951703874,0
16.0,10,0.00018189315065934492,0
16.0,11,0.00018316241977195462,0
16.0,12,0.00020961230682667705,0
16.0,13,0.00020737584546076966,0
16.0,14,0.00019070501276714856,0
16.0,15,0.00026824772320006466,0
18.000000000000004,0,0.0001541412918571033,0
18.000000000000004,1,0.00012583617841914853,0
18.000000000000004,2,0.00029850472282965946,0
18.000000000000004,3,0.0001560626140099217,0
18.000000000000004,4,0.00029244979969995927,0
18.000000000000004,5,0.00015426949673094043,0
18.000000000000004,6,0.00029127247635131844,0
18.000000000000004,7,0.00023813648875108416,0
18.000000000000004,8,0.0003402342011449553,0
18.000000000000004,9,0.00015382552684720775,0
18.000000000000004,10,0.00018185401120459496,0
18.000000000000004,11,0.00018322829009439443,0
18.000000000000004,12,0.00020959318866967802,0
18.000000000000004,13,0.00020747792692170808,0
18.000000000000004,14,0.00019266364295185228,0
18.000000000000004,15,0.000268368665777828,0
20.0,0,0.0001543114319146171,0
20.0,1,0.0001258554014048255,0
20.0,2,0.0002998078939818938,0
20.0,3,0.00015603672771561031,0
20.0,4,0.0002925981556825209,0
20.0,5,0.00015438813097052334,0
20.0,6,0.0002917534916865052,0
20.0,7,0.00023798711809593263,0
20.0,8,0.00034058539661555563,0
20.0,9,0.00015374237838480087,0
20.0,10,0.00018192593266569163,0
20.0,11,0.00018344975248916158,0
20.0,12,0.0002096059399063298,0
20.0,13,0.00020769475765673137,0
20.0,14,0.00019489050956720226,0
20.0,15,0.00026687932885125073,0
22.0,0,0.0001545351734450053,0
22.0,1,0.00012589400580738,0
22.0,2,0.0003010136582918349,0
22.0,3,0.00015637979453665465,0
22.0,4,0.0002937197941963727,0
22.0,5,0.00015459934533292683,0
22.0,6,0.00029282040039180294,0
