dt,5e-10
freqs,channel,p1,chi2
0.0,0,1.084740016679979e-07,0
0.0,1,5.149284842525459e-08,0
0.0,2,8.123128787664815e-08,0
0.0,3,1.292726799492066e-07,0
0.0,4,8.365799178646265e-08,0
0.0,5,6.151245640936566e-08,0
0.0,6,1.774513011312188e-08,0
0.0,7,1.2443179483225488e-07,0
0.0,8,6.229949897557389e-08,0
0.0,9,3.913118960624632e-08,0
0.0,10,6.21918103115965e-08,0
0.0,11,1.0986621127071987e-07,0
0.0,12,5.120237136632577e-08,0
0.0,13,6.054972662357404e-08,0
0.0,14,5.2111647651004893e-08,0
0.0,15,1.3572010533536095e-07,0
2.0,0,1.0869197095280955e-07,0
2.0,1,5.1469183734588177e-08,0
2.0,2,8.046652507746524e-08,0
2.0,3,1.2722455734050527e-07,0
2.0,4,8.35537598079467e-08,0
2.0,5,6.150611790276608e-08,0
2.0,6,1.7061846082214432e-08,0
2.0,7,1.261434000350425e-07,0
2.0,8,6.212119138621649e-08,0
2.0,9,3.913118960624632e-08,0
2.0,10,6.215154355568466e-08,0
2.0,11,1.1090175856148152e-07,0
2.0,12,5.0626539070181956e-08,0
2.0,13,6.009210739956422e-08,0
2.0,14,5.2122694419466794e-08,0
2.0,15,1.3733462279718856e-07,0
4.0,0,1.0884160472973414e-07,0
4.0,1,5.1668965903927253e-08,0
4.0,2,8.103253985977741e-08,0
4.0,3,1.2839358064353632e-07,0
4.0,4,8.372219541764347e-08,0
4.0,5,6.151325124673243e-08,0
4.0,6,1.7279176565160038e-08,0
4.0,7,1.2605526070960354e-07,0
4.0,8,6.230828915468847e-08,0
4.0,9,3.913118960624632e-08,0
4.0,10,6.228239846419869e-08,0
4.0,11,1.1075524201053647e-07,0
4.0,12,5.0888562449172e-08,0
4.0,13,6.05486492175537e-08,0
4.0,14,5.2349309525233375e-08,0
4.0,15,1.371235803849136e-07,0
6.0,0,1.0869072327134902e-07,0
6.0,1,5.16096213907957e-08,0
6.0,2,8.152666310050943e-08,0
6.0,3,1.2953565837397974e-07,0
6.0,4,8.370839484884708e-08,0
6.0,5,6.15380033961471e-08,0
6.0,6,1.79216510211628e-08,0
6.0,7,1.2446348962995155e-07,0
6.0,8,6.242970606594049e-08,0
6.0,9,3.913118960624632e-08,0
6.0,10,6.23030140671644e-08,0
6.0,11,1.0979527957480763e-07,0
6.0,12,5.156043831750421e-08,0
6.0,13,6.07115111452882e-08,0
6.0,14,5.23069482557424e-08,0
6.0,15,1.356831465694845e-07,0
8.0,0,1.0892994703474443e-07,0
8.0,1,5.176128785278359e-08,0
8.0,2,8.135204421816791e-08,0
8.0,3,1.2883191654979557e-07,0
8.0,4,8.379281448186545e-08,0
8.0,5,6.152520088857492e-08,0
8.0,6,1.7461967578810204e-08,0
8.0,7,1.2575000842537476e-07,0
8.0,8,6.246431445098195e-08,0
8.0,9,3.913118960624632e-08,0
